rank,quota,institute,state,course,allottedCategory,candidateCategory,phase
633621,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,EWS,2
755831,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,General,3
755369,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,OBC,3
728180,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,SC,3
509096,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,ST,1
465798,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,EWS,2
500262,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,General,2
492426,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,OBC,2
480312,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,SC,1
502737,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,ST,2
711985,Non-Resident Indian,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,General,1
666150,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,EWS,3
736125,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,General,3
734672,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,OBC,3
726374,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,SC,3
582374,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,ST,1
1044991,Non-Resident Indian,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,General,3
1240389,Non-Resident Indian,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,OBC,3
1276065,Non-Resident Indian,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,SC,3
