opening_rank,closing_rank,year,round_number,category_le,quota_le,state_le,seat_ratio,historical_cutoff_gap,college_name_le
7517,11591,2020,0,2,1,19,0.0,4074,79
6387,9900,2023,0,0,0,19,0.0,3513,138
1670,1829,2023,0,2,1,4,0.0,159,115
30911,939640,2023,0,2,1,19,0.0,908729,171
7396,12397,2023,0,0,1,7,0.0,5001,175
5852,16919,2021,0,0,1,19,0.0,11067,24
13931,94398,2020,0,7,1,9,0.0,80467,36
8261,13598,2023,0,2,1,19,0.0,5337,155
1959,1959,2025,1,4,1,4,0.0,0,2
25203,442575,2023,0,2,1,19,0.0,417372,21
14699,249659,2021,0,4,3,9,0.0,234960,112
11664,100314,2021,0,2,3,19,0.0,88650,107
3212,3964,2021,0,2,1,19,0.0,752,31
3897,5087,2024,0,4,1,6,0.0,1190,138
11617,40953,2021,0,2,1,19,0.0,29336,68
9208,44109,2021,0,7,1,19,0.0,34901,131
9728,117536,2021,0,6,1,7,0.0,107808,100
20118,382221,2020,0,7,0,0,0.0,362103,122
3414,4163,2023,0,2,1,4,0.0,749,130
32083,1184532,2023,0,2,5,19,0.0,1152449,28
5218,14287,2021,0,4,1,0,0.0,9069,86
1715,1927,2021,0,2,1,17,0.0,212,146
6351,9830,2023,0,2,5,19,0.0,3479,26
2106,2106,2025,1,4,1,4,0.0,0,4
14145,419548,2021,0,6,1,19,0.0,405403,196
20489,356744,2021,0,2,1,19,0.0,336255,21
11711,24,2025,0,4,1,9,0.0,0,22
11405,92313,2021,0,4,3,19,0.0,80908,160
5625,8405,2022,0,2,1,19,0.0,2780,113
7138,11771,2022,0,2,5,7,0.0,4633,175
14644,51749,2023,0,2,1,19,0.0,37105,94
22260,486679,2021,0,2,1,19,0.0,464419,123
26522,695182,2022,0,2,1,19,0.0,668660,16
16786,158646,2021,0,2,1,13,0.0,141860,199
9021,90370,2021,0,6,1,7,0.0,81349,100
825,850,2022,0,2,1,4,0.0,25,130
23873,520008,2025,0,0,1,19,0.0,496135,68
9013,24,2025,0,2,0,19,0.0,0,138
19875,367918,2020,0,4,1,19,0.0,348043,102
10058,82605,2020,0,7,1,13,0.0,72547,83
6443,10358,2023,0,0,5,19,0.0,3915,19
13008,74196,2020,0,2,1,19,0.0,61188,107
7959,17033,2023,0,2,1,13,0.0,9074,68
6241,11466,2021,0,2,1,9,0.0,5225,88
25676,671419,2023,0,7,1,19,0.0,645743,123
23501,460414,2022,0,2,1,19,0.0,436913,28
5876,8984,2022,0,4,1,19,0.0,3108,164
15972,77786,2023,0,2,1,13,0.0,61814,25
22065,471591,2021,0,2,1,19,0.0,449526,35
1314,1411,2021,0,2,6,4,0.0,97,193
2142,2401,2023,0,2,1,9,0.0,259,140
21267,228996,2023,0,2,5,19,0.0,207729,194
15178,141947,2020,0,2,1,0,0.0,126769,13
3104,3990,2021,0,2,1,19,0.0,886,24
12052,246702,2021,0,6,1,19,0.0,234650,183
13806,91419,2020,0,9,1,19,0.0,77613,68
14511,79987,2022,0,2,5,13,0.0,65476,49
4046,5232,2023,0,2,1,7,0.0,1186,134
9047,16060,2023,0,4,5,18,0.0,7013,64
12065,178074,2020,0,4,1,9,0.0,166009,112
3346,4363,2022,0,4,1,6,0.0,1017,138
5209,8693,2022,0,4,1,19,0.0,3484,88
14243,45128,2023,0,2,5,19,0.0,30885,38
6166,9730,2023,0,0,4,19,0.0,3564,68
21258,409502,2021,0,2,1,19,0.0,388244,123
6066,9233,2023,0,2,1,19,0.0,3167,88
22010,369806,2022,0,2,1,9,0.0,347796,112
19297,150964,2023,0,2,1,19,0.0,131667,105
3698,4623,2023,0,2,1,7,0.0,925,101
15809,329438,2021,0,2,3,9,0.0,313629,112
664,1,2021,0,2,1,19,0.0,0,54
23599,811777,2020,0,2,1,19,0.0,788178,199
3564,4396,2023,0,2,1,8,0.0,832,41
11415,204956,2021,0,6,1,13,0.0,193541,199
7535,18198,2021,0,0,1,19,0.0,10663,95
3349,4073,2023,0,2,1,19,0.0,724,39
4685,6415,2023,0,2,1,7,0.0,1730,91
3142,267089,2021,3,4,3,19,0.0,263947,21
4498,6073,2020,0,4,1,19,0.0,1575,188
21210,325233,2022,0,2,1,19,0.0,304023,35
21694,441283,2021,0,2,5,19,0.0,419589,107
9454,16982,2021,0,2,1,20,0.0,7528,68
1882,2205,2020,0,2,1,19,0.0,323,162
16960,165228,2021,0,2,1,19,0.0,148268,138
16645,493350,2020,0,4,1,19,0.0,476705,199
13891,201051,2021,0,7,3,0,0.0,187160,13
12278,22677,2023,0,2,1,19,0.0,10399,95
7391,11877,2023,0,2,1,16,0.0,4486,68
24930,424083,2023,0,2,1,19,0.0,399153,21
7933,13450,2022,0,4,0,9,0.0,5517,99
9068,15261,2023,0,2,1,9,0.0,6193,68
24113,1,2020,0,7,1,17,0.0,0,146
13200,243564,2020,0,4,1,19,0.0,230364,196
3956,530742,2021,3,2,3,19,0.0,526786,35
12603,287740,2021,0,6,1,19,0.0,275137,28
8221,14125,2022,0,2,1,13,0.0,5904,103
2760,3386,2022,0,2,1,4,0.0,626,115
26122,717962,2023,0,2,1,19,0.0,691840,199
11698,51959,2020,0,2,5,9,0.0,40261,156
23367,694340,2020,0,4,1,19,0.0,670973,16
15636,399711,2020,0,7,1,19,0.0,384075,167
29166,748909,2023,0,2,1,19,0.0,719743,123
3560,4892,2020,0,2,1,19,0.0,1332,114
12377,42754,2022,0,2,1,8,0.0,30377,131
4206,606712,2021,3,4,3,19,0.0,602506,102
9159,58057,2020,0,7,1,0,0.0,48898,133
3946,5114,2021,0,2,1,4,0.0,1168,115
22976,545018,2021,0,4,1,19,0.0,522042,28
15277,288020,2021,0,4,3,19,0.0,272743,102
6371,9677,2021,0,2,5,19,0.0,3306,177
1401,1778,2021,0,0,6,4,0.0,377,193
6595,12122,2024,0,0,1,12,0.0,5527,40
11324,89850,2021,0,2,3,19,0.0,78526,138
7121,11355,2023,0,2,1,9,0.0,4234,78
146,96870,2021,3,0,1,18,0.0,96724,57
21785,504049,2020,0,2,1,19,0.0,482264,34
16332,141207,2021,0,2,1,19,0.0,124875,107
4861,6659,2020,0,2,1,9,0.0,1798,108
582,594,2020,0,2,1,19,0.0,12,62
8818,15527,2023,0,4,5,3,0.0,6709,68
8941,53220,2020,0,7,1,19,0.0,44279,68
16209,82267,2023,0,2,5,19,0.0,66058,195
4346,6431,2021,0,4,1,8,0.0,2085,131
18520,237866,2021,0,4,1,19,0.0,219346,35
8518,14816,2022,0,2,1,19,0.0,6298,168
2072,2420,2020,0,2,1,9,0.0,348,109
16840,132646,2022,0,2,1,19,0.0,115806,107
15011,89025,2022,0,2,1,9,0.0,74014,140
2773,3503,2020,0,2,1,19,0.0,730,68
30010,831014,2023,0,2,1,19,0.0,801004,96
2190,2461,2023,0,2,5,7,0.0,271,91
16734,400923,2021,0,5,1,5,0.0,384189,132
8971,15869,2022,0,2,1,19,0.0,6898,68
91,92,2021,0,2,1,4,0.0,1,193
537263,441110,2025,0,2,1,19,0.0,0,123
14089,415317,2021,0,6,1,13,0.0,401228,6
5995,10796,2021,0,2,1,19,0.0,4801,125
9959,126981,2021,0,6,1,19,0.0,117022,160
90795,73,2024,0,2,3,12,0.0,0,160
4201,5561,2020,0,2,4,4,0.0,1360,115
17835,260439,2020,0,2,1,19,0.0,242604,166
8890,14890,2020,0,4,1,7,0.0,6000,45
14672,331525,2020,0,2,1,19,0.0,316853,102
11793,21364,2023,0,2,1,19,0.0,9571,70
16445,87153,2023,0,7,1,0,0.0,70708,151
12976,135337,2023,0,4,1,12,0.0,122361,160
4444,674983,2021,3,2,3,19,0.0,670539,167
11874,45140,2021,0,2,1,13,0.0,33266,186
23268,670089,2020,0,8,1,19,0.0,646821,80
24322,512762,2022,0,2,1,7,0.0,488440,100
12197,120644,2021,0,2,3,7,0.0,108447,100
21357,333933,2022,0,2,1,19,0.0,312576,123
20639,201652,2023,0,2,1,19,0.0,181013,107
4346,5790,2021,0,2,1,9,0.0,1444,78
17474,157116,2022,0,2,5,19,0.0,139642,102
5368,7693,2021,0,2,1,19,0.0,2325,162
20959,437406,2020,0,2,1,19,0.0,416447,35
5596,15809,2021,0,6,1,20,0.0,10213,68
20617,364485,2021,0,4,1,19,0.0,343868,28
1434,1835,2021,0,0,1,4,0.0,401,138
12601,66978,2020,0,7,1,19,0.0,54377,182
22751,300617,2023,0,2,1,19,0.0,277866,123
15249,285942,2021,0,4,3,19,0.0,270693,21
26095,500813,2023,0,2,1,19,0.0,474718,123
10608,27038,2021,0,2,1,13,0.0,16430,83
7651,12822,2022,0,4,1,0,0.0,5171,11
15671,318726,2021,0,4,3,19,0.0,303055,102
20854,382269,2021,0,4,1,19,0.0,361415,34
17297,180447,2021,0,2,1,0,0.0,163150,13
23610,603163,2021,0,2,1,19,0.0,579553,123
15013,134114,2020,0,2,1,13,0.0,119101,6
25034,567489,2022,0,2,1,19,0.0,542455,171
15302,538406,2021,0,6,1,19,0.0,523104,166
8908,30251,2022,0,0,1,18,0.0,21343,57
14255,67078,2023,0,7,1,20,0.0,52823,185
5248,8361,2020,0,2,1,19,0.0,3113,173
2891,5226,2021,0,6,1,13,0.0,2335,31
2717,3360,2021,0,2,1,19,0.0,643,163
11151,55478,2024,0,9,1,16,0.0,44327,102
13046,53927,2022,0,2,5,19,0.0,40881,88
7206,11919,2022,0,2,1,19,0.0,4713,116
14299,151557,2024,0,4,1,12,0.0,137258,138
2067,2302,2023,0,4,1,4,0.0,235,138
27805,624342,2023,0,2,5,19,0.0,596537,154
20393,351037,2021,0,2,1,19,0.0,330644,28
5141,7175,2020,0,2,1,19,0.0,2034,94
21257,409434,2021,0,2,1,19,0.0,388177,167
17387,105299,2023,0,2,5,19,0.0,87912,105
22132,535203,2020,0,10,1,19,0.0,513071,39
7205,11918,2022,0,2,1,19,0.0,4713,76
8393,74545,2021,0,7,1,19,0.0,66152,131
8301,72197,2021,0,9,1,13,0.0,63896,31
20409,192258,2023,0,2,1,19,0.0,171849,50
3637,5030,2020,0,4,1,9,0.0,1393,150
2962,3822,2020,0,4,1,19,0.0,860,88
9910,18384,2022,0,4,1,18,0.0,8474,68
5435,15119,2021,0,4,1,19,0.0,9684,118
16701,746275,2021,0,6,1,19,0.0,729574,166
20899,213312,2023,0,2,1,19,0.0,192413,138
8649,14395,2023,0,2,1,19,0.0,5746,54
14956,501551,2021,0,6,1,19,0.0,486595,102
8258,39714,2020,0,7,1,7,0.0,31456,134
8053,65469,2021,0,7,1,19,0.0,57416,155
2974,3785,2021,0,2,1,9,0.0,811,78
5814,16793,2021,0,6,1,0,0.0,10979,69
19673,162981,2023,0,2,5,19,0.0,143308,105
6176,10635,2020,0,2,1,19,0.0,4459,53
7606,12326,2021,0,4,1,19,0.0,4720,76
24197,150,2025,0,4,1,19,0.0,0,68
6549,11757,2020,0,2,1,19,0.0,5208,79
22559,578042,2020,0,5,1,0,0.0,555483,86
11866,35211,2022,0,2,5,7,0.0,23345,101
26315,674836,2022,0,2,1,19,0.0,648521,34
16522,88860,2023,0,4,1,19,0.0,72338,160
940,980,2022,0,2,1,4,0.0,40,130
15592,115860,2021,0,2,1,19,0.0,100268,160
9053,16177,2020,0,4,1,4,0.0,7124,129
15662,162189,2020,0,2,1,13,0.0,146527,199
14291,306613,2020,0,7,1,19,0.0,292322,196
20361,190362,2023,0,2,5,19,0.0,170001,107
11600,154427,2020,0,4,1,0,0.0,142827,13
8272,71277,2021,0,9,1,19,0.0,63005,139
22523,505948,2021,0,2,1,19,0.0,483425,167
84663,1,2025,0,7,1,19,0.0,0,11
1608,26820,2021,3,2,1,13,0.0,25212,83
2629,3112,2021,0,2,1,17,0.0,483,146
3986,9463,2021,0,6,1,19,0.0,5477,77
14091,42483,2023,0,2,1,19,0.0,28392,91
9918,77979,2020,0,2,1,19,0.0,68061,107
12158,59395,2020,0,2,1,13,0.0,47237,186
15811,104806,2022,0,2,1,7,0.0,88995,100
10506,18304,2023,0,2,1,19,0.0,7798,29
4697,6416,2021,0,2,1,19,0.0,1719,102
3100,3856,2020,0,2,1,7,0.0,756,91
8021,64624,2021,0,9,1,19,0.0,56603,113
2806,3321,2022,0,2,1,9,0.0,515,46
4065,5264,2023,0,2,1,19,0.0,1199,94
9439,104576,2021,0,9,1,19,0.0,95137,189
2898,3518,2021,0,2,0,19,0.0,620,114
10648,71247,2021,0,2,3,7,0.0,60599,100
23975,522203,2023,0,2,1,19,0.0,498228,28
2139,2498,2021,0,2,1,17,0.0,359,146
1152,1205,2023,0,2,1,4,0.0,53,138
23245,442899,2022,0,2,1,13,0.0,419654,6
3908,5505,2021,0,2,1,19,0.0,1597,139
7593,12311,2023,0,2,1,19,0.0,4718,81
23230,441493,2022,0,2,1,19,0.0,418263,123
14210,427416,2021,0,6,1,0,0.0,413206,106
14545,459723,2021,0,6,1,19,0.0,445178,198
407,415,2020,0,2,1,4,0.0,8,130
497,12295,2021,3,2,1,19,0.0,11798,102
10429,18145,2023,0,2,1,0,0.0,7716,76
4193,10354,2021,0,6,1,7,0.0,6161,175
30421,878682,2023,0,2,5,19,0.0,848261,35
8065,13222,2023,0,4,1,19,0.0,5157,88
12030,114816,2021,0,4,3,19,0.0,102786,160
11191,44074,2020,0,2,5,19,0.0,32883,180
13903,399685,2021,0,6,1,19,0.0,385782,123
14352,46939,2023,0,2,5,9,0.0,32587,22
15801,168097,2020,0,2,1,19,0.0,152296,138
12871,224155,2020,0,4,1,9,0.0,211284,112
21964,462424,2021,0,1,1,19,0.0,440460,68
13732,192150,2021,0,4,3,0,0.0,178418,13
8417,42891,2020,0,7,1,19,0.0,34474,68
18850,57,2025,0,2,0,9,0.0,0,68
13707,382264,2021,0,6,1,19,0.0,368557,35
4597,6330,2023,0,2,1,19,0.0,1733,93
24527,564904,2023,0,2,1,19,0.0,540377,104
3604,4470,2023,0,2,1,19,0.0,866,91
922,961,2022,0,2,1,9,0.0,39,169
5058,13556,2021,0,6,1,19,0.0,8498,177
6900,400008,2025,0,4,1,13,0.0,393108,117
15272,287903,2021,0,7,3,19,0.0,272631,34
3480,4374,2021,0,2,5,19,0.0,894,102
2994,3699,2020,0,2,4,4,0.0,705,130
7851,22251,2021,0,2,3,13,0.0,14400,186
11896,108937,2021,0,4,3,7,0.0,97041,100
14522,115122,2020,0,2,1,13,0.0,100600,199
3130,261865,2021,3,4,3,19,0.0,258735,28
9209,15548,2023,0,2,1,19,0.0,6339,190
2576,4330,2021,0,6,1,4,0.0,1754,115
31152,968596,2023,0,2,1,19,0.0,937444,198
6321,11084,2020,0,4,1,17,0.0,4763,145
6308,11671,2021,0,2,1,19,0.0,5363,18
15789,100725,2023,0,2,1,12,0.0,84936,138
23437,586501,2021,0,2,1,19,0.0,563064,28
16691,205649,2020,0,2,1,19,0.0,188958,138
2134,3238,2021,0,4,1,19,0.0,1104,48
14740,580021,2025,0,2,1,19,0.0,565281,54
9963,20548,2021,0,0,1,17,0.0,10585,145
158,159,2023,0,2,1,4,0.0,1,130
6420,26682,2021,0,7,6,4,0.0,20262,193
8468,76327,2021,0,9,1,13,0.0,67859,25
6186,9468,2023,0,2,5,5,0.0,3282,132
6950,10528,2020,0,2,1,19,0.0,3578,54
5779,10197,2021,0,4,1,19,0.0,4418,74
26769,547234,2023,0,2,1,19,0.0,520465,35
14759,253891,2021,0,2,3,19,0.0,239132,28
4647,6318,2020,0,2,1,17,0.0,1671,136
7289,19659,2020,0,4,1,19,0.0,12370,57
727,749,2022,0,2,1,4,0.0,22,130
18872,138549,2023,0,2,5,19,0.0,119677,68
15789,167682,2020,0,2,1,19,0.0,151893,138
16728,207106,2020,0,7,1,19,0.0,190378,138
2188,92558,2021,3,7,1,7,0.0,90370,100
10780,65408,2022,0,9,1,13,0.0,54628,117
3914,9203,2021,0,0,1,19,0.0,5289,192
21415,515001,2025,0,4,1,19,0.0,493586,178
11891,21614,2023,0,2,1,19,0.0,9723,33
16098,350629,2021,0,4,3,19,0.0,334531,21
20864,658342,2022,0,2,1,12,0.0,637478,159
11765,34037,2022,0,4,1,8,0.0,22272,85
2666,143406,2021,3,9,1,0,0.0,140740,73
5898,8771,2021,0,2,1,19,0.0,2873,37
13152,144173,2023,0,0,1,12,0.0,131021,160
1698,1902,2020,0,2,6,4,0.0,204,193
16493,703451,2021,0,6,1,19,0.0,686958,194
7286,11169,2020,0,2,1,19,0.0,3883,195
9517,107474,2021,0,6,1,19,0.0,97957,160
16159,183395,2020,0,4,1,0,0.0,167236,13
15602,159485,2020,0,2,1,0,0.0,143883,13
1048,17967,2021,3,4,1,19,0.0,16919,135
15690,71932,2023,0,2,1,7,0.0,56242,101
5356,8591,2020,0,4,6,4,0.0,3235,193
23733,76,2025,0,2,5,18,0.0,0,68
15580,569462,2021,0,6,5,7,0.0,553882,100
11835,34843,2022,0,2,1,13,0.0,23008,186
5067,7959,2020,0,4,1,0,0.0,2892,58
18893,258337,2021,0,2,1,0,0.0,239444,13
8680,14468,2023,0,4,1,19,0.0,5788,88
19781,312306,2021,0,2,1,19,0.0,292525,123
10330,19628,2022,0,4,1,18,0.0,9298,68
7799,13157,2022,0,2,5,19,0.0,5358,66
11686,32946,2022,0,2,1,19,0.0,21260,88
4927,7855,2021,0,2,1,16,0.0,2928,142
11641,217784,2021,0,6,1,19,0.0,206143,138
4817,12610,2021,0,6,1,19,0.0,7793,195
1032,17922,2021,3,2,1,19,0.0,16890,116
17615,193034,2021,0,2,1,19,0.0,175419,102
6073,18489,2021,0,0,1,20,0.0,12416,68
3194,4094,2022,0,0,1,6,0.0,900,138
15412,198460,2024,0,4,1,12,0.0,183048,138
12182,119713,2021,0,9,1,17,0.0,107531,145
7963,32910,2020,0,2,1,19,0.0,24947,160
7820,21874,2021,0,4,1,19,0.0,14054,30
1214,1296,2020,0,2,1,19,0.0,82,148
23798,355729,2023,0,2,1,13,0.0,331931,199
11835,54055,2020,0,2,1,13,0.0,42220,186
8791,15431,2022,0,2,1,0,0.0,6640,165
16743,93176,2023,0,2,5,19,0.0,76433,68
20787,649771,2022,0,0,1,12,0.0,628984,159
5555,15663,2021,0,4,1,13,0.0,10108,103
23286,572429,2021,0,2,1,19,0.0,549143,123
25682,619578,2022,0,2,1,19,0.0,593896,123
7599,12323,2023,0,2,1,19,0.0,4724,66
27547,603216,2023,0,2,1,19,0.0,575669,123
10806,23854,2022,0,2,1,19,0.0,13048,30
22808,530176,2021,0,2,1,19,0.0,507368,194
7418,12456,2023,0,2,5,19,0.0,5038,18
6456,9616,2020,0,2,1,13,0.0,3160,14
16574,90071,2023,0,2,1,19,0.0,73497,180
2163,2608,2020,0,4,1,9,0.0,445,169
2542,3062,2022,0,2,1,19,0.0,520,88
15349,107533,2021,0,2,1,19,0.0,92184,138
6632,10232,2021,0,2,1,1,0.0,3600,10
6465,12084,2021,0,2,1,9,0.0,5619,88
10439,67330,2021,0,7,1,19,0.0,56891,11
13450,2,2020,0,6,1,0,0.0,0,133
7951,62679,2021,0,6,1,19,0.0,54728,105
13263,78498,2020,0,2,1,19,0.0,65235,107
12127,30676,2023,0,2,5,19,0.0,18549,85
4292,10706,2021,0,6,1,19,0.0,6414,9
5772,16557,2021,0,6,1,19,0.0,10785,68
11663,41738,2021,0,2,1,9,0.0,30075,110
5120,8391,2021,0,4,1,19,0.0,3271,164
9434,16918,2021,0,4,1,19,0.0,7484,68
11055,32480,2021,0,2,1,19,0.0,21425,94
13611,125090,2024,0,4,1,12,0.0,111479,160
1312,1387,2023,0,2,1,4,0.0,75,138
17119,225978,2020,0,2,5,19,0.0,208859,34
10982,40654,2020,0,9,1,19,0.0,29672,92
14474,158934,2024,0,4,1,12,0.0,144460,138
14110,81323,2021,0,9,8,9,0.0,67213,109
10133,22299,2021,0,4,1,19,0.0,12166,95
15960,615842,2021,0,6,1,19,0.0,599882,123
10739,18853,2023,0,2,1,19,0.0,8114,17
8036,65113,2021,0,9,1,19,0.0,57077,149
13755,90214,2020,0,2,1,7,0.0,76459,100
6229,9557,2023,0,2,1,19,0.0,3328,138
16703,154837,2021,0,2,5,13,0.0,138134,199
6668,10456,2023,0,2,0,19,0.0,3788,68
5619,8397,2022,0,2,1,19,0.0,2778,179
17881,114713,2023,0,9,1,19,0.0,96832,131
10022,18705,2022,0,4,1,18,0.0,8683,68
3522,4351,2023,0,4,1,9,0.0,829,22
19232,149122,2023,0,9,1,19,0.0,129890,66
14065,98115,2020,0,2,4,0,0.0,84050,13
28268,923974,2022,0,2,1,19,0.0,895706,198
10216,87908,2020,0,7,1,19,0.0,77692,157
18484,235524,2021,0,2,1,19,0.0,217040,35
14249,83780,2021,0,2,1,19,0.0,69531,160
27281,581894,2023,0,2,1,19,0.0,554613,28
5404,7903,2023,0,2,1,19,0.0,2499,39
12389,63694,2020,0,2,1,19,0.0,51305,177
278,283,2022,0,2,1,19,0.0,5,62
27765,621125,2023,0,2,1,19,0.0,593360,123
4366,6634,2022,0,2,1,19,0.0,2268,88
12297,105139,2022,0,4,1,12,0.0,92842,160
6086,10425,2020,0,2,1,19,0.0,4339,80
2401,110274,2021,3,9,1,13,0.0,107873,117
5184,14105,2021,0,4,1,8,0.0,8921,11
4405,5866,2023,0,2,5,19,0.0,1461,91
4206,5550,2023,0,4,1,19,0.0,1344,31
23356,451515,2022,0,2,1,19,0.0,428159,167
955,17390,2021,3,4,1,19,0.0,16435,188
19031,265549,2021,0,2,1,19,0.0,246518,16
16446,115348,2023,0,9,1,20,0.0,98902,185
10881,20734,2023,0,4,1,18,0.0,9853,68
6616,12454,2021,0,0,1,19,0.0,5838,68
21709,89,2025,0,2,6,0,0.0,0,69
5704,9476,2020,0,4,1,7,0.0,3772,175
8783,15413,2022,0,2,1,19,0.0,6630,95
3738,5144,2021,0,4,1,17,0.0,1406,136
5942,10640,2021,0,2,1,19,0.0,4698,178
22601,717949,2024,0,2,5,12,0.0,695348,138
7193,10978,2020,0,2,1,4,0.0,3785,193
13709,88846,2020,0,9,1,19,0.0,75137,24
3935,524182,2021,3,4,3,19,0.0,520247,102
18118,119117,2023,0,2,1,7,0.0,100999,100
16926,96878,2023,0,2,5,17,0.0,79952,136
10658,35427,2020,0,2,1,13,0.0,24769,186
10696,22107,2022,0,7,1,1,0.0,11411,10
3955,5172,2020,0,2,1,9,0.0,1217,140
13349,173319,2021,0,2,3,19,0.0,159970,123
10633,70838,2021,0,7,1,13,0.0,60205,103
16465,87746,2023,0,2,1,19,0.0,71281,68
161821,1,2025,0,2,5,19,0.0,0,58
1296,1397,2022,0,2,5,19,0.0,101,88
9220,96832,2021,0,9,1,19,0.0,87612,118
16346,84789,2023,0,2,5,19,0.0,68443,105
10390,19339,2023,0,4,1,19,0.0,8949,65
7950,32740,2020,0,7,1,13,0.0,24790,117
8124,12958,2020,0,2,1,11,0.0,4834,158
2834,3602,2020,0,2,1,13,0.0,768,25
3471,4264,2023,0,2,1,7,0.0,793,134
6806,34883,2021,0,7,1,19,0.0,28077,39
3853,8961,2021,0,4,1,19,0.0,5108,76
886,922,2022,0,2,1,19,0.0,36,33
11859,107533,2021,0,0,3,19,0.0,95674,138
7217,14515,2021,0,4,1,0,0.0,7298,69
24774,751667,2021,0,2,5,13,0.0,726893,199
